PRODUTO,COR_PRODUTO,ROW_NUM
367117,07448,2
368626,0011,4
368627,0011,5
372012,59608,6
372045,59554,7
372295,59551,9
385658,07448,10
385657,07448,11
381521,07448,12
372570,59586,13
372572,59586,14
372727,59500,15
372734,59551,16
372735,59551,17
372736,59551,18
372826,07742,19
372921,07742,21
373155,59492,22
373360,59589,24
379990,59589,25
379934,59492,26
379363,57859,27
379353,07448,28
379339,04097,29
379283,59473,30
379277,5336,32
379277,09269,33
379277,07448,34
379276,07448,35
379274,05024,36
378963,07448,37
378927,07448,38
378176,59566,39
378154,59594,40
378107,0101,41
377306,07448,44
376630,59569,45
376629,59569,46
376580,2276,47
374112,0024,49
376579,2276,50
376242,59536,51
376241,59536,52
376153,07448,53
376133,59501,54
374451,59492,55
376107,59479,56
374507,59520,57
375850,59586,58
374823,59559,59
374909,59566,60
374911,59566,61
375011,59460,62
375737,59476,63
375211,07836,64
375351,07843,65
375361,0013,66
375361,05024,67
375361,07448,68
375361,07742,69
