PRODUTO,COR_PRODUTO
367117,07448
368626,0011
368627,0011
372012,59608
372045,59554
372295,59551
372570,59586
372572,59586
372727,59500
372734,59551
372735,59551
372736,59551
372826,07742
372921,07742
373155,59492
373360,59589
374112,0024
374451,59492
374507,59520
374823,59559
374909,59566
374911,59566
375011,59460
375211,07836
375351,07843
375361,0013
375361,05024
375361,07448
375361,07742
375737,59476
375850,59586
376107,59479
376133,59501
376153,07448
376241,59536
376242,59536
376579,2276
376580,2276
376629,59569
376630,59569
377306,07448
378107,0101
378154,59594
378176,59566
378927,07448
378963,07448
379274,05024
379276,07448
379277,07448
379277,09269
379277,5336
379283,59473
379339,04097
379353,07448
379363,57859
379934,59492
379990,59589
381521,07448
385657,07448
385658,07448
