ID_CAMPANHA,LIBERAR_GRADE_WEB,PRODUTO,COR_PRODUTO,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,R_ESTOQUE,R_ES1,R_ES2,R_ES3,R_ES4,R_ES5,R_ES6,R_ES7,R_ES8,R_ES9,R_ES10,R_ES11,R_ES12,R_ES13,R_ES14,R_ES15,R_ES16,status
54,0,367234      ,07742       ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,4,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,367234      ,07748       ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,4,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,367846      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,367847      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,368530      ,10066       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,368531      ,10066       ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6,11,7,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,368537      ,58302       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371830      ,07742       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,21,30,15,8,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371830      ,09269       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371832      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,18,27,14,8,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371833      ,0013        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,18,27,14,8,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371833      ,05052       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371834      ,04097       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371834      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,14,20,10,6,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371846      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371848      ,07448       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,20,28,14,8,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371848      ,07742       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,20,28,14,8,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371850      ,7122        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,15,22,11,6,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371860      ,0013        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371863      ,05024       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371863      ,07742       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371868      ,0013        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371868      ,05024       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371868      ,07836       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371880      ,0013        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,8,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371880      ,05024       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,371880      ,07836       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372004      ,59467       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,14,26,17,11,8,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372005      ,59467       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372006      ,59467       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372014      ,61665       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,9,15,11,7,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372015      ,61665       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,10,7,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372017      ,59547       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,19,34,23,15,10,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372018      ,59547       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372032      ,59602       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372033      ,59602       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372042      ,59614       ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,96,18,32,22,14,10,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372046      ,59554       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372073      ,59557       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372087      ,59557       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372093      ,59481       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,15,28,19,12,8,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372094      ,59481       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372096      ,59593       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,10,7,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372097      ,59591       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372098      ,59593       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372099      ,59593       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372104      ,59548       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,14,25,17,11,8,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372249      ,59474       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372250      ,59481       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15,28,19,12,9,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372251      ,59481       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372256      ,59670       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,16,28,19,13,9,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372279      ,59473       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,17,10,6,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372280      ,59476       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,14,26,15,10,5,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372287      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,11,21,12,7,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372302      ,59709       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,17,32,18,12,6,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372307      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,14,25,14,9,5,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372308      ,59721       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,10,19,11,7,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372309      ,59721       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,19,11,6,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372368      ,59548       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,16,12,7,5,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372370      ,59547       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,10,8,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372373      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372374      ,59576       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372397      ,59574       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,16,29,20,13,9,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372429      ,59591       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8,14,10,6,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372430      ,59537       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372431      ,59548       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,13,9,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372432      ,59548       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,9,7,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372433      ,59547       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,12,8,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372438      ,59516       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372439      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372440      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372441      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372442      ,59498       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8,14,10,6,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372446      ,59534       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,14,9,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372447      ,59560       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372451      ,59535       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,11,18,13,8,5,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372471      ,59533       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372472      ,59533       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372474      ,59536       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,12,9,6,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372475      ,59587       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,20,36,25,16,11,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372476      ,59587       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372477      ,59587       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,10,7,5,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372478      ,59587       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,13,7,6,4,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372479      ,59525       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372480      ,59497       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372481      ,59497       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372526      ,59555       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,7,4,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372527      ,59555       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372536      ,59592       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,8,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372537      ,59479       ,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,79,15,26,18,12,8,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372539      ,59479       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372540      ,59479       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372541      ,59479       ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,3,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372557      ,59499       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372558      ,59499       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372666      ,59574       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
