PRODUTO,COR_PRODUTO,active_rows,excluded_rows,total_rows
371833      ,0013        ,0,1,1
371850      ,7122        ,0,1,1
371860      ,0013        ,0,1,1
371868      ,0013        ,0,1,1
371880      ,0013        ,0,1,1
373203      ,2276        ,0,1,1
373206      ,0105        ,0,1,1
373207      ,0105        ,0,1,1
373218      ,2276        ,0,1,1
373236      ,2276        ,0,1,1
373404      ,0109        ,0,1,1
373406      ,0109        ,0,1,1
373407      ,0109        ,0,1,1
373408      ,0109        ,0,1,1
373409      ,0101        ,0,1,1
373410      ,0101        ,0,1,1
373420      ,0101        ,0,1,1
373421      ,0101        ,0,1,1
373423      ,0105        ,0,1,1
373443      ,0109        ,0,1,1
373445      ,0003        ,0,1,1
373449      ,0101        ,0,1,1
373450      ,0101        ,0,1,1
373451      ,0105        ,0,1,1
373857      ,0105        ,0,1,1
373942      ,0013        ,0,1,1
373943      ,5336        ,0,1,1
373944      ,2276        ,0,1,1
373968      ,0013        ,0,1,1
373973      ,0013        ,0,1,1
374090      ,2276        ,0,1,1
374093      ,0026        ,0,1,1
374096      ,0024        ,0,1,1
374105      ,0024        ,0,1,1
374215      ,0101        ,0,1,1
374231      ,0013        ,0,1,1
374995      ,0003        ,0,1,1
375053      ,0109        ,0,1,1
375075      ,0024        ,0,1,1
375233      ,7122        ,0,1,1
375254      ,1566        ,0,1,1
375276      ,8391        ,0,1,1
375354      ,0024        ,0,1,1
375399      ,0105        ,0,1,1
375404      ,0101        ,0,1,1
375470      ,0013        ,0,1,1
375524      ,0105        ,0,1,1
375568      ,0109        ,0,1,1
375851      ,0101        ,0,1,1
376236      ,0013        ,0,1,1
378106      ,0105        ,0,1,1
378109      ,0003        ,0,1,1
378112      ,0109        ,0,1,1
378930      ,2276        ,0,1,1
378962      ,0026        ,0,1,1
379024      ,0101        ,0,1,1
379040      ,0101        ,0,1,1
379337      ,0206        ,0,1,1
379361      ,0011        ,0,1,1
379361      ,0024        ,0,1,1
379362      ,0011        ,0,1,1
379362      ,0024        ,0,1,1
380117      ,2276        ,0,1,1
