produto,cor,data_limite,campos,old_json,new_json,old_total,total_esperado
373207,0105,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",33,35
373404,0109,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",50,52
373407,0109,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 4}",99,103
373408,0109,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 3}",55,58
373409,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",55,57
373410,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",49,51
373420,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 4}",93,97
373421,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",49,51
373423,0105,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 5}",93,98
373445,0003,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",50,52
373449,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 5}",93,98
373450,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 3}",76,79
373451,0105,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 4}",81,85
373852,05052,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 1}",34,35
373857,0105,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 4}",88,92
374215,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",55,57
374995,0003,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",50,52
375053,0109,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 1}",22,23
375396,03328,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 1}",33,34
375399,0105,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 4}",99,103
375524,0105,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 3}",52,55
375851,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",38,40
378106,0105,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 3}",87,90
378109,0003,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 1}",35,36
378112,0109,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 2}",55,57
379024,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 5}",98,103
379040,0101,2026-08-31,EX7,"{""EX7"": 0}","{""EX7"": 4}",99,103
