PRODUTO,COR_PRODUTO,ID_CAMPANHA,DT_EXCLUSAO,motivo
355102      ,61671     ,54,,FORA_DA_PLANILHA
355103      ,61671     ,54,,FORA_DA_PLANILHA
356764      ,61671     ,54,,FORA_DA_PLANILHA
356775      ,55726     ,54,,FORA_DA_PLANILHA
367120      ,0013      ,54,,FORA_DA_PLANILHA
367120      ,05024     ,54,,FORA_DA_PLANILHA
368626      ,0011      ,54,,FORA_DA_PLANILHA
368627      ,0011      ,54,,FORA_DA_PLANILHA
369502      ,07448     ,54,,FORA_DA_PLANILHA
371832      ,05024     ,54,,FORA_DA_PLANILHA
371833      ,0013      ,54,,FORA_DA_PLANILHA
371835      ,07742     ,54,,FORA_DA_PLANILHA
371837      ,07448     ,54,,FORA_DA_PLANILHA
371839      ,0013      ,54,,FORA_DA_PLANILHA
371839      ,07820     ,54,,FORA_DA_PLANILHA
371843      ,05024     ,54,,FORA_DA_PLANILHA
371843      ,07448     ,54,,FORA_DA_PLANILHA
371844      ,07448     ,54,,FORA_DA_PLANILHA
371846      ,07836     ,54,,FORA_DA_PLANILHA
371847      ,05024     ,54,,FORA_DA_PLANILHA
371847      ,07742     ,54,,FORA_DA_PLANILHA
371849      ,0013      ,54,,FORA_DA_PLANILHA
371850      ,07835     ,54,,FORA_DA_PLANILHA
371850      ,7122      ,54,,FORA_DA_PLANILHA
371860      ,0013      ,54,,FORA_DA_PLANILHA
371860      ,07820     ,54,,FORA_DA_PLANILHA
371861      ,0013      ,54,,FORA_DA_PLANILHA
371861      ,07742     ,54,,FORA_DA_PLANILHA
371862      ,0013      ,54,,FORA_DA_PLANILHA
371862      ,03335     ,54,,FORA_DA_PLANILHA
371863      ,07684     ,54,,FORA_DA_PLANILHA
371864      ,05052     ,54,,FORA_DA_PLANILHA
371864      ,07448     ,54,,FORA_DA_PLANILHA
371868      ,0013      ,54,,FORA_DA_PLANILHA
371880      ,0013      ,54,,FORA_DA_PLANILHA
372001      ,59607     ,54,,FORA_DA_PLANILHA
372002      ,59607     ,54,,FORA_DA_PLANILHA
372003      ,59467     ,54,,FORA_DA_PLANILHA
372007      ,59595     ,54,,FORA_DA_PLANILHA
372008      ,59595     ,54,,FORA_DA_PLANILHA
372019      ,59547     ,54,,FORA_DA_PLANILHA
372028      ,59561     ,54,,FORA_DA_PLANILHA
372029      ,59561     ,54,,FORA_DA_PLANILHA
372030      ,59561     ,54,,FORA_DA_PLANILHA
372031      ,59561     ,54,,FORA_DA_PLANILHA
372034      ,59475     ,54,,FORA_DA_PLANILHA
372035      ,59475     ,54,,FORA_DA_PLANILHA
